id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
CD8 NC|MDH1,MDH1,CD8 NC,Wald ratio,1,0.482110333386972,0.149848450750173,0.00129394444416053,0.030250430420713,1.61948845909176,1.2073252431689,2.17235818100465
CD8 NC|MED16,MED16,CD8 NC,Wald ratio,1,0.237204206163053,0.0621963314367127,0.0001368476762398,0.00424480824707939,1.26769996349089,1.12220937289185,1.4320529094259
CD8 NC|RNASEH2C,RNASEH2C,CD8 NC,Wald ratio,1,0.328108435878297,0.104232383591999,0.00164473224891404,0.0361175596163262,1.38833950994156,1.13180416312083,1.703021297916
CD8 NC|EEF1D,EEF1D,CD8 NC,Wald ratio,1,0.414105557890784,0.127219526542276,0.00113373540153849,0.0271738851132159,1.51301682932054,1.17910453985907,1.94149021432892
CD8 NC|HIST1H2AD,HIST1H2AD,CD8 NC,Wald ratio,1,-0.673220759196796,0.151583532616926,8.94367301322696e-06,0.000352093407018127,0.510063138882183,0.378960052008728,0.686521981056603
CD8 NC|LRRC37A2,LRRC37A2,CD8 NC,Wald ratio,1,0.385243425726818,0.121656123188012,0.00154201159806044,0.0352897714519977,1.46997210692081,1.15811933240586,1.86579908880059
CD8 NC|C6orf25,C6orf25,CD8 NC,Wald ratio,1,1.39492700574458,0.168344216977489,1.16964062989941e-16,1.0971517908612e-14,4.03468005341687,2.9007587493226,5.61185694509805
CD8 NC|C19orf83,C19orf83,CD8 NC,Wald ratio,1,-0.265537515770357,0.084319880265482,0.00163735724117915,0.0361175596163262,0.766793675490577,0.649985982902279,0.904592646978275
CD8 NC|NOTCH4,NOTCH4,CD8 NC,Wald ratio,1,0.410589591505338,0.101893368993188,5.58716766097934e-05,0.00188672443947204,1.50770645402913,1.23476243132813,1.84098470592113
CD8 NC|HLA-B,HLA-B,CD8 NC,Wald ratio,1,-0.181159485956149,0.041051673262385,1.01965763310939e-05,0.00037426853605629,0.834302288586453,0.769802904139154,0.904205875293462
CD8 NC|HLA-A,HLA-A,CD8 NC,Wald ratio,1,-0.394506427362516,0.113764470960629,0.000524840742182837,0.0141409218407986,0.674012631355089,0.53929918360483,0.842376626995033
CD8 NC|EVI2A,EVI2A,CD8 NC,Wald ratio,1,-0.250133154819956,0.0802303794099864,0.00182276702970466,0.0392333821294505,0.778697088897196,0.665388167253249,0.911301381808585
CD8 NC|XXbac-BPG181B23.7,XXbac-BPG181B23.7,CD8 NC,Wald ratio,1,0.581799068102292,0.14847604370268,8.91124565134919e-05,0.00291843295081686,1.78925452764152,1.33747836297877,2.39363256505743
CD8 NC|KISS1R,KISS1R,CD8 NC,Wald ratio,1,0.422654368518242,0.105892626024959,6.56986670432357e-05,0.00217034118345437,1.52600676882603,1.23999186797321,1.87799349225504
CD8 NC|HIST1H3I,HIST1H3I,CD8 NC,Wald ratio,1,-1.49513275286498,0.165342083954541,1.52900600706612e-19,2.15136808179414e-17,0.224218837061705,0.162154898433004,0.310037423347249
CD8 NC|HFE,HFE,CD8 NC,Wald ratio,1,-1.32323149375339,0.1963106957939,1.57846661782267e-11,9.44345619072175e-10,0.266273449192161,0.181227803261769,0.391228875860063
CD8 NC|BTN2A1,BTN2A1,CD8 NC,Wald ratio,1,0.680578938323979,0.131648754886653,2.34523741984024e-07,1.06701280933809e-05,1.97502081655222,1.52584351044325,2.55642678893161
